Percentage_of_Sellers,Percentage_of_Agents_Trading,Consumptive_Use_Sellers,Consumptive_Use_Buyers,Volume_Quantity_Filled_Sellers,Volume_Quantity_Filled_Buyers,Initial_AV_Sellers,Initial_AV_Buyers
0.05,255.79999999999998,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,258.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,260.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,262.40000000000003,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,264.59999999999997,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,267.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,269.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,271.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,274.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,276.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,279.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,281.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,283.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,286.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,288.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,291.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,293.40000000000003,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,295.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,298.20000000000005,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,300.59999999999997,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,303.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,305.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,307.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,310.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,312.59999999999997,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,315.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,317.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,319.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,322.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,324.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,327.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,329.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,331.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,334.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,336.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,339.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,341.40000000000003,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,343.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,346.20000000000005,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,348.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,351.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,353.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,355.79999999999995,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,358.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,360.59999999999997,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
